Time,EMG_RT_BRACHIORAD,EMG_RT_EXT,EMG_RT_FLEX,EMG_RT_BICEPS_BR,EMG_RT_LAT,EMG_RT_ANT,EMG_RT_POST,EMG_RT_MID_DELT,EMG_RT_PECT,EMG_RT_INFRASPIN,humerus_l_imu,radius_l_imu,hand_r_imu,pelvis_imu,torso_imu,humerus_r_imu,radius_r_imu
-3.0,1.783052664184602,21.62415521516261,5.147631189526315,1.6707331930499345,4.5113667942178814,1.6305669178261006,6.037826188442987,1.9613694179585757,0.9459832766870471,6.721068480838847,0.0002830000000000332,1.2000000000012001e-05,0.0002909999999999857,0.0001309999999998812,0.00018899999999999473,4.799999999999249e-05,1.2000000000012001e-05
-2.99,1.8169902129500084,21.10827820804348,4.952529001726221,1.6866611412675456,4.4221401371778395,1.6166016075648373,6.006074871914746,2.117916815378586,0.9878853228627219,6.505978414169489,0.00018599401197602036,5.211976047907618e-05,0.00032094011976046053,0.00010704790419147477,0.000145886227544913,5.279041916167378e-05,1.3197604790432323e-05
-2.9800000000000004,1.8458866398691525,20.50913988970492,4.772575394343159,1.712468223034676,4.281215969964402,1.6083830455070327,6.141769076910576,2.270176525814003,1.0537104384335174,6.280807052498409,0.0001085508982035149,7.247904191620813e-05,0.00033131736526944986,0.00013348502994001198,0.0001247065868263486,5.204790419161405e-05,2.6251497005995532e-05
-2.9700000000000006,1.867625519173895,19.92344362861074,4.626152848293441,1.7433796580949121,4.10152179907949,1.6061514803795625,6.425572200116287,2.40959968292531,1.1402957643831992,6.059788872496288,7.082634730529137e-05,5.271856287425619e-05,0.00030197604790420184,0.0002622275449102465,0.00014805988023951162,4.0071856287410827e-05,6.337724550897566e-05
-2.960000000000001,1.8797183671920197,19.45100550235445,4.525283978506491,1.7742657531294137,3.8997741351369037,1.6095452986536283,6.815585583285659,2.529535662329723,1.24322033984106,5.851495091030585,0.0001621686746987701,5.315662650604391e-05,0.00022997590361447566,0.00032627710843379567,0.0002243855421686783,4.196385542168432e-05,7.48072289156597e-05
-2.950000000000001,1.8798700272997597,19.174772188615428,4.475427839604825,1.8000171750347842,3.6925328776812463,1.6181374249147957,7.253038366654714,2.6246399268994445,1.3564918472541123,5.660854547556589,0.00032000000000010904,6.40000000000639e-05,0.00013600000000001648,0.0003569999999999241,0.00032799999999999827,5.100000000002144e-05,7.299999999999702e-05
-2.9400000000000013,1.8667269907914998,19.14040654597757,4.4760706250563524,1.8161305023592764,3.492560510817788,1.6317815783775376,7.670674736748565,2.6913195182383145,1.4725655422893609,5.490862462417343,0.00038227544910176636,6.340119760477064e-05,8.809580838323682e-05,0.0002635868263472719,0.0001902754491017775,4.082035928146532e-05,3.5874251497000264e-05
-2.9300000000000015,1.8403095169317096,19.345322132046643,4.522739497505444,1.8193489974802317,3.3070352904702274,1.650741752321453,8.002174257415753,2.728286805734055,1.5824023138828684,5.344425069982004,0.00040167065868255573,5.272455089813587e-05,5.3431137724564375e-05,0.00017906586826347756,0.00012566467065868508,3.518562874253961e-05,1.5940119760477356e-05
-2.9200000000000017,1.8019826046756666,19.73964413142216,4.609343877857543,1.8082316143476544,3.137517808523551,1.6756812424566896,8.191670107436098,2.7370930794295463,1.675784277511004,5.22498144525568,0.00033400598802405684,2.1586826347273967e-05,4.564670658688214e-05,0.00011259880239523276,0.00020949700598804118,3.877844311376733e-05,3.0910179640714766e-05
-2.910000000000002,1.75435747201079,20.23511171294552,4.729346444751862,1.7836027212331704,2.9823623501405088,1.7074015804426383,8.200996958049066,2.722264951401551,1.7415646574034993,5.136104230243521,0.00024380722891570797,3.167469879514191e-05,0.00010979518072290126,0.00014844578313252772,0.00019545783132529382,5.43132530120259e-05,2.8048192771086765e-05
-2.900000000000002,1.7007243165850974,20.724960276786895,4.877179513287396,1.7485321036777184,2.838363380419774,1.7467337613917995,8.01576739882146,2.69093237239584,1.769434884363653,5.078799033408774,0.00014199999999986446,6.299999999992423e-05,0.0002109999999999057,0.0002369999999999317,0.00013099999999996448,7.599999999996498e-05,1.6000000000016e-05
-2.8900000000000023,1.6448143057311762,21.101864136821884,5.04849307978667,1.7078559342095512,2.7039990260543294,1.7941740972587121,7.6454730428484226,2.6519145878086072,1.751321832782515,5.050071046755246,8.391616766466164e-05,9.353892215569231e-05,0.0002708802395209551,0.00022921556886224947,9.26766467065474e-05,7.95928143712592e-05,1.1808383233544873e-05
-2.8800000000000026,1.5903231019982835,21.274509720546867,5.2402040570765696,1.6670274931784492,2.580857822402855,1.8497846655091243,7.121384053536243,2.6146593010977615,1.6837714795715764,5.042068005674058,4.420958083839547e-05,0.00011577844311383789,0.0003078383233533411,0.00017993413173654244,7.075449101793408e-05,7.94311377245808e-05,1.7694610778448214e-05
-2.8700000000000028,1.540529271747722,21.17804635325456,5.449236090340618,1.6305556983321012,2.4740480541109924,1.913361779847635,6.491686773778871,2.5880526145975873,1.570432757742957,5.043212276076904,4.1814371257554826e-05,0.00012116766467074596,0.00029825748502994526,4.640119760482606e-05,8.213173652696038e-05,7.164670658686531e-05,4.404191616766207e-05
-2.860000000000003,1.4981019297795757,20.77887439006962,5.670167634349593,1.6004603133288664,2.391526760438287,1.9848751775674376,5.814212539384037,2.5792826392707577,1.4241415514336082,5.040892731558999,4.77590361445973e-05,0.00011186746987951615,0.00020434939759036703,7.137349397591136e-05,8.679518072291166e-05,4.1963855421684324e-05,5.8168674698791285e-05
-2.850000000000003,1.4653538780526032,20.078876103063436,5.891757423908046,1.5753424657436919,2.3430558861778725,2.0644746216999987,5.151990718732819,2.5930567209167608,1.2689412086678886,5.024708160933618,5.799999999994517e-05,9.49999999998482e-05,6.700000000000816e-05,0.00017799999999999254,8.800000000000452e-05,9.99999999925011e-07,6.599999999999522e-05
-2.8400000000000034,1.444166441066203,19.11344035908407,6.097277553598678,1.5499789892932339,2.337822493436191,2.153022722807613,4.56259112928401,2.631366918792066,1.139042811854661,4.989239307029603,5.141317365268624e-05,8.18263473053902e-05,4.843712574848866e-05,0.00022470658682629602,9.458682634729873e-05,1.297604790411883e-05,4.9832335329341754e-05
-2.8300000000000036,1.436215163945915,17.94981051185229,6.264952762401883,1.516284307286555,2.3827953901642385,2.251792061059949,4.09553033077593,2.69419890852886,1.0772183687418422,4.935885884445994,6.359880239521146e-05,6.726946107791608e-05,5.971257485027544e-05,0.0002658802395209167,0.0001146107784430896,2.0999999999959673e-05,5.3820359281422114e-05
-2.820000000000004,1.442712919590387,16.679414304823506,6.371657406668135,1.4651663119974376,2.4808268977367076,2.362313555648,3.7870315397316054,2.7809728745603173,1.130329186423812,4.873619295297516,0.00011389820359279852,4.990419161673829e-05,0.00013156886227546155,0.0002958203592815244,0.0001619161676646425,2.1000000000026155e-05,9.873053892213435e-05
-2.810000000000004,1.4640709528306273,15.405220287960137,6.397671072732588,1.389110591282055,2.629505833233481,2.4858994067581777,3.656037947383609,2.892610614384737,1.343467309152186,4.818375010981462,0.0001576385542168628,5.5927710843334866e-05,0.00017309638554216755,0.00029844578313258834,0.0001080240963855771,2.8554216867511604e-05,0.00012314457831324698
-2.8000000000000043,1.49946518172783,14.233059754318434,6.331420627151546,1.2855312292450098,2.819932741531028,2.622076125482505,3.702109057383815,3.0328675775464773,1.7517747785838347,4.79120015375339,0.00019800000000001715,7.400000000001207e-05,0.00019899999999994,0.00028699999999993027,2.0000000000674318e-06,4.000000000003594e-05,0.00013700000000000718
